,Green,NUMBER_OFFERS_SME,SOCIAL_CLAUSE,ENVIRONMENTAL_CLAUSE,ENVIRONMENTAL_CRITERION,ENVIRONMENTAL_WEIGHT,P_CRITERION_WEIGHT,AWARD_PRICE,CAE_LEGAL_STATUS,CAE_REGION,PROCEDURE_TYPE,CPV,FRAMEWORK_AGREEMENT,ADVERTISING,ID_BOAMP_AWARD,ALLOTMENT,MONTH,Division_type,Division,Offers_other,CAE_SIREN,presence,Quarter,Statut
918134,1,1.0,1,1,0,0.0,40.0,11.69380097674486,722,Pays de la Loire,open,'45112710,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918135,1,5.0,1,1,0,0.0,40.0,13.152846335007,722,Pays de la Loire,open,'45223220,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918136,1,3.0,1,1,0,0.0,40.0,14.002806447226805,722,Pays de la Loire,open,'45261100,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918137,1,2.0,1,1,0,0.0,40.0,11.932333582637144,722,Pays de la Loire,open,'45261210,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918138,1,3.0,1,1,0,0.0,40.0,12.469131130509295,722,Pays de la Loire,open,'45261420,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918139,1,5.0,1,1,0,0.0,40.0,12.508834629910792,722,Pays de la Loire,open,'45421100,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918141,1,3.0,1,1,0,0.0,40.0,12.738100328695008,722,Pays de la Loire,open,'45421000,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918142,1,3.0,1,1,0,0.0,40.0,13.122363377404328,722,Pays de la Loire,open,'45421152,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918143,1,1.0,1,1,0,0.0,55.00000000000001,10.184073255210766,722,Pays de la Loire,open,'45421146,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918144,1,3.0,1,1,0,0.0,55.00000000000001,11.370803334541186,722,Pays de la Loire,open,'45431000,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918145,1,7.0,1,1,0,0.0,55.00000000000001,11.295765724894677,722,Pays de la Loire,open,'45432111,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918146,1,5.0,1,1,0,0.0,55.00000000000001,11.559800176783902,722,Pays de la Loire,open,'45442110,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918147,1,7.0,1,1,0,0.0,40.0,13.473020249017498,722,Pays de la Loire,open,'45331000,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918148,1,1.0,1,1,0,0.0,40.0,11.211819291104641,722,Pays de la Loire,open,'45262220,0,30.0,23-149126,1,2023_October,T,45,0.0,228500013,1,2023Q4,Département
918149,1,5.0,1,1,0,0.0,40.0,12.765688433465597,722,Pays de la Loire,open,'45311200,0,30.0,23-149126,1,2023_October,T,45,1.0,228500013,1,2023Q4,Département
919060,1,0.0,0,1,0,0.0,65.0,13.740787011768338,734,Nouvelle-Aquitaine,open,'09100000,1,35.0,22-32362,1,2022_March,F,09,2.0,244000675,0,2022Q1,Interco
919061,1,0.0,0,1,0,0.0,65.0,11.173248097400068,734,Nouvelle-Aquitaine,open,'09100000,1,35.0,22-32362,1,2022_March,F,09,2.0,244000675,0,2022Q1,Interco
919067,1,0.0,0,1,0,0.0,50.0,12.292250341771226,734,Nouvelle-Aquitaine,open,'09100000,1,35.0,22-32362,1,2022_March,F,09,2.0,244000675,0,2022Q1,Interco
919068,1,0.0,0,1,0,0.0,50.0,11.385092093460344,734,Nouvelle-Aquitaine,open,'09100000,1,35.0,22-32362,1,2022_March,F,09,2.0,244000675,0,2022Q1,Interco
919070,1,0.0,0,1,0,0.0,50.0,9.680344001221918,734,Nouvelle-Aquitaine,open,'09100000,1,35.0,22-32362,1,2022_March,F,09,2.0,244000675,0,2022Q1,Interco
919410,0,1.0,0,0,0,0.0,70.0,10.32417126794485,735,Nouvelle-Aquitaine,open,'77200000,0,32.0,22-89633,1,2022_June,S,77,0.0,254001910,1,2022Q2,EPL
919411,0,1.0,0,0,0,0.0,70.0,10.443059512660295,735,Nouvelle-Aquitaine,open,'77200000,0,32.0,22-89633,1,2022_June,S,77,0.0,254001910,1,2022Q2,EPL
