,green,offers_sme,social_clause,g_clause,g_criterion,g_weight,price_weight,award_price,region,cpv,framework,advertising,id_contract,allotment,month,contract_type,cpv_division,offers_other,authority_siren,participation,quarter,status
9496,0,3.0,1,0,0,0.0,60.0,11.878956503832988,Provence-Alpes-Côte d’Azur,'44212310,0,40.0,23-95243,1,2023_July,F,44,0.0,240500439,1,2023Q3,municipal_federation
9497,0,2.0,1,0,0,0.0,60.0,12.117765884438176,Provence-Alpes-Côte d’Azur,'44810000,0,40.0,23-95243,1,2023_July,F,44,0.0,240500439,1,2023Q3,municipal_federation
9498,0,1.0,0,0,0,0.0,60.0,11.206400304716968,Provence-Alpes-Côte d’Azur,'90620000,0,30.0,22-150843,1,2022_November,S,90,0.0,210501771,1,2022Q4,municipality
9499,0,1.0,0,0,0,0.0,60.0,10.858998997563564,Provence-Alpes-Côte d’Azur,'90620000,0,30.0,22-150843,1,2022_November,S,90,0.0,210501771,1,2022Q4,municipality
9500,1,1.0,0,1,0,0.0,60.0,14.450367390170404,Provence-Alpes-Côte d’Azur,'60112000,0,40.0,23-163445,0,2023_November,S,60,0.0,210501771,1,2023Q4,municipality
9501,0,2.0,0,0,0,0.0,80.0,12.542544882151386,Provence-Alpes-Côte d’Azur,'44113900,1,48.0,22-161807,1,2022_December,F,44,0.0,200045789,1,2022Q4,specialized
9502,0,1.0,0,0,0,0.0,80.0,12.858397831569864,Provence-Alpes-Côte d’Azur,'44113900,1,48.0,22-161807,1,2022_December,F,44,1.0,200045789,1,2022Q4,specialized
9503,0,2.0,0,0,0,0.0,80.0,12.676076274775909,Provence-Alpes-Côte d’Azur,'44113900,1,48.0,22-161807,1,2022_December,F,44,0.0,200045789,1,2022Q4,specialized
9504,0,2.0,0,0,0,0.0,80.0,12.206072645530174,Provence-Alpes-Côte d’Azur,'44113900,1,48.0,22-161807,1,2022_December,F,44,0.0,200045789,1,2022Q4,specialized
9505,0,0.0,0,0,0,0.0,60.0,16.11809565095832,Provence-Alpes-Côte d’Azur,'45233220,1,29.0,22-164899,1,2022_December,T,45,2.0,220500011,0,2022Q4,departement
9506,0,0.0,0,0,0,0.0,60.0,15.89495209964411,Provence-Alpes-Côte d’Azur,'45233220,1,29.0,22-164899,1,2022_December,T,45,2.0,220500011,0,2022Q4,departement
9507,0,0.0,0,0,0,0.0,60.0,15.89495209964411,Provence-Alpes-Côte d’Azur,'45233220,1,29.0,22-164899,1,2022_December,T,45,2.0,220500011,0,2022Q4,departement
9508,0,3.0,0,0,0,0.0,40.0,11.690653152753956,Provence-Alpes-Côte d’Azur,'71240000,0,34.0,23-18732,0,2023_February,S,71,0.0,220500011,1,2023Q1,departement
