,sme,social_clause,g_clause,g_criterion,g_weight,price_weight,award_price,legal_status,departement,procedure_type,CPV,framework,advertising,id_contract,allotment,month,contract_type,sme_ratio,siren
3097,1,0,1,1,20.0,50.0,15.201804919084164,72,69,open,'45262660,0,36.0,23-146884,1,2023_November,Works,0.1666666666666666,200046977
3098,0,0,1,1,20.0,50.0,15.201804919084164,72,69,open,'45262660,0,36.0,23-146884,1,2023_November,Works,0.1666666666666666,200046977
3099,1,0,0,1,15.0,60.0,11.911010070718964,73,5,open,'90511000,1,37.0,23-146886,1,2023_October,Services,0.5,240500439
3100,0,0,0,0,0.0,100.0,13.985242362027057,57,68,open,'45311000,0,33.0,23-147079,1,2023_October,Works,0.6666666666666666,900618539
3101,0,0,0,0,0.0,40.0,9.481886964918514,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.25,130022478
3102,0,0,0,0,0.0,40.0,10.705661993023025,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.5,130022478
3103,1,0,0,0,0.0,40.0,11.022331624765703,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.3333333333333333,130022478
3104,0,0,0,0,0.0,40.0,10.685859388144491,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.3333333333333333,130022478
3105,1,0,0,0,0.0,40.0,10.594840123747575,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.5,130022478
3106,0,0,0,0,0.0,40.0,9.951890498889274,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.5,130022478
3107,1,0,0,0,0.0,40.0,10.781169671885184,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.3333333333333333,130022478
3108,0,0,0,0,0.0,40.0,10.239572214059816,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.25,130022478
3109,0,0,0,0,0.0,40.0,9.99271243624454,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.4285714285714285,130022478
3110,1,0,0,0,0.0,40.0,10.948223740558142,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.5,130022478
3111,1,0,0,0,0.0,40.0,9.99271243624454,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.3333333333333333,130022478
3112,0,0,0,0,0.0,40.0,9.481886964918514,73,31,open,'50324200,1,29.0,23-147189,1,2023_October,Services,0.25,130022478
3113,0,0,0,0,0.0,100.0,13.407516755401454,73,31,negotiated,'85312110,0,46.0,23-147527,0,2023_October,Services,0.5,263105926
3114,0,0,0,1,30.0,40.0,12.17201935820529,72,10,open,'50324100,1,63.0,23-147561,1,2023_October,Services,0.0,221000052
3115,0,0,0,1,30.0,40.0,11.87087959040734,72,10,open,'50324100,1,63.0,23-147561,1,2023_October,Services,0.0,221000052
3116,0,0,0,1,30.0,40.0,11.182864631309942,72,10,open,'50324100,1,63.0,23-147561,1,2023_October,Services,0.0,221000052
3117,0,0,0,0,0.0,40.0,14.151982794585487,72,83,open,'44211100,0,38.0,23-147666,1,2023_October,Supplies,0.0,218300986
3118,0,0,0,0,0.0,40.0,14.28551418721001,72,83,open,'45310000,0,38.0,23-147666,1,2023_October,Works,0.0,218300986
3119,1,0,0,0,0.0,40.0,13.815510557964274,72,83,open,'45261420,0,38.0,23-147666,1,2023_October,Works,0.8,218300986
3120,0,0,0,0,0.0,40.0,14.50865773852422,72,83,open,'45330000,0,38.0,23-147666,1,2023_October,Works,0.0,218300986
3121,0,0,0,0,0.0,40.0,14.50865773852422,72,83,open,'45331000,0,38.0,23-147666,1,2023_October,Works,0.0,218300986
3122,1,1,0,0,0.0,60.0,12.834681304952548,41,28,open,'45421000,1,32.0,23-147735,1,2023_October,Works,0.5,393448881
3123,0,1,0,0,0.0,60.0,12.141534124392605,41,28,open,'31310000,1,32.0,23-147735,1,2023_October,Supplies,0.0,393448881
3124,0,1,1,0,0.0,40.0,14.403297222866392,73,62,open,'79311000,1,41.0,23-147954,0,2023_October,Services,0.3333333333333333,130017791
3125,1,0,0,0,0.0,100.0,14.28987964471965,72,72,open,'44113320,1,35.0,23-148379,1,2023_October,Supplies,0.0,227200029
3126,0,0,0,0,0.0,100.0,12.513557345278134,72,72,open,'44113320,1,35.0,23-148379,1,2023_October,Supplies,0.0,227200029
3127,0,0,1,0,0.0,100.0,13.652991628466498,72,72,open,'09130000,1,35.0,23-148380,0,2023_October,Supplies,0.5,227200029
3128,0,0,0,0,0.0,30.0,12.706847933442663,73,10,open,'71351810,0,31.0,23-148785,0,2023_October,Services,0.5,200069250
3129,0,0,0,0,0.0,90.0,10.23995978915734,72,59,open,'44212310,1,31.0,23-148962,1,2023_October,Supplies,0.2,215902719
3130,0,1,1,1,10.0,55.0,13.933402032185429,72,78,open,'45233140,1,36.0,23-149020,0,2023_October,Works,0.2,217805514
3131,1,1,1,0,0.0,40.0,12.765688433465597,72,85,open,'45311200,0,30.0,23-149126,1,2023_October,Works,0.8333333333333334,228500013
3132,0,0,0,0,0.0,30.0,14.708558865217,73,61,open,'66512000,1,47.0,23-149148,0,2023_October,Services,0.0,286100029
3133,1,0,0,0,0.0,30.0,13.815510557964274,73,44,open,'90400000,1,59.0,23-149188,0,2023_October,Services,0.0,200000438
3134,0,0,1,0,0.0,100.0,12.160028707028768,72,49,open,'34134200,0,29.0,23-149217,1,2023_October,Supplies,0.0,224900019
3135,0,0,0,0,0.0,100.0,11.512925464970229,92,14,open,'79310000,0,32.0,23-149465,0,2023_October,Services,0.0,775561335
3136,0,0,1,1,5.0,60.0,10.32236234755421,72,78,open,'50413200,1,46.0,23-149489,1,2023_October,Services,0.8,217805514
3137,1,0,0,0,0.0,40.0,13.38779984090879,72,1,open,'71314200,0,56.0,23-149511,0,2023_October,Services,0.5,210101481
3138,0,0,0,0,0.0,100.0,16.37146124083491,72,93,negotiated,'92312000,0,36.0,23-149527,0,2023_October,Services,0.0,219300076
3139,0,0,0,0,0.0,60.0,14.73180128983843,73,38,open,'34139000,1,34.0,23-149599,0,2023_October,Supplies,0.0,200040715
3140,1,0,0,0,0.0,80.0,11.289781913656018,72,13,open,'71351914,1,50.0,23-150125,1,2023_October,Services,0.5,211300041
3141,0,0,0,0,0.0,100.0,10.778956289890028,72,13,open,'71631300,1,50.0,23-150125,1,2023_October,Services,0.5,211300041
3142,0,0,0,0,0.0,100.0,11.002099841204238,72,13,open,'71317210,1,50.0,23-150125,1,2023_October,Services,0.25,211300041
3143,0,0,0,0,0.0,80.0,11.002099841204238,72,13,open,'71350000,1,50.0,23-150125,1,2023_October,Services,0.3333333333333333,211300041
3144,0,0,0,0,0.0,30.0,11.804504932700704,73,79,open,'66515000,0,63.0,23-150153,1,2023_October,Services,0.0,200080844
3145,0,0,0,0,0.0,30.0,10.682720682009204,73,79,open,'66516400,0,63.0,23-150153,1,2023_October,Services,0.0,200080844
3146,0,0,0,0,0.0,30.0,8.766394277049736,73,79,open,'66513100,0,63.0,23-150153,1,2023_October,Services,0.0,200080844
3147,0,0,0,0,0.0,30.0,11.499323374551944,73,79,open,'66514110,0,63.0,23-150153,1,2023_October,Services,0.0,200080844
3148,0,0,0,0,0.0,30.0,12.307739849300372,73,79,open,'66512000,0,63.0,23-150153,1,2023_October,Services,0.0,200080844
3149,0,1,1,0,0.0,100.0,13.487006490992238,73,69,open,'39500000,0,69.0,23-150451,1,2023_October,Supplies,0.8,196917751
3150,1,0,1,1,7.0,35.0,11.589886506106357,74,69,open,'33000000,1,39.0,23-150622,1,2023_October,Supplies,0.8,130002223
3151,1,0,1,1,7.0,35.0,13.176851562688398,74,69,open,'33000000,1,39.0,23-150622,1,2023_October,Supplies,0.5,130002223
3152,1,0,1,1,7.0,35.0,8.070906088787819,74,69,open,'33000000,1,39.0,23-150622,1,2023_October,Supplies,0.5,130002223
3153,1,0,1,1,7.0,35.0,13.815510557964274,74,69,open,'33000000,1,39.0,23-150622,1,2023_October,Supplies,0.6666666666666666,130002223
3154,1,0,1,1,7.0,35.0,13.418013619505286,74,69,open,'33000000,1,39.0,23-150622,1,2023_October,Supplies,0.6,130002223
3155,0,0,1,1,7.0,35.0,13.892471599100402,74,69,open,'33000000,1,39.0,23-150622,1,2023_October,Supplies,0.5,130002223
3156,0,0,1,0,0.0,40.0,13.015973443188097,72,44,open,'50721000,0,47.0,23-150642,0,2023_October,Services,0.0,200083228
3157,1,0,0,0,0.0,30.0,12.016950436633117,72,74,negotiated,'71240000,0,21.0,23-150652,0,2023_October,Services,0.0,200056141
3158,1,0,1,0,0.0,40.0,13.613103021733714,72,83,open,'45112700,1,50.0,23-150921,1,2023_October,Works,0.5,218301232
3159,1,1,1,0,0.0,55.0,12.82260872371828,62,77,open,'79713000,0,45.0,23-151376,1,2023_October,Services,0.6666666666666666,820566172
3160,0,0,1,0,0.0,100.0,16.656752819124222,73,60,negotiated,'90400000,0,39.0,23-15142,0,2023_February,Services,0.0,200005163
3161,0,0,0,0,0.0,40.0,12.47228334911072,55,59,open,'50700000,0,36.0,23-151469,0,2023_October,Services,0.0,75851014
3162,0,0,0,0,0.0,30.0,12.448626590364206,73,78,open,'71000000,0,31.0,23-15156,0,2023_February,Services,0.3333333333333333,200073344
3163,0,0,1,0,0.0,50.0,14.077874822431763,73,75,open,'30200000,1,33.0,23-151922,0,2023_October,Supplies,0.75,130002504
3164,0,0,1,1,20.0,25.0,12.606216956603843,72,25,open,'15115000,1,29.0,23-15222,1,2023_February,Supplies,0.0,212500565
